willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",None ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes ,Yes ,Yes ,It was good ,"It was organised very well, thank you "
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I really enjoyed the way the conference was held. Mainly sneha arunkumar she was the main attraction of the conference and other moderators and delegates was also really inspiring ,"Yes, by seeing the opportunity Christ giving for differently abled students other colleges also should provide these kind of support to students ",It was very nice to participate in the event and my opportunity to see the speakers was really good,The interaction between the delegates and members was not that much time so it is mainly an issue and it can be rectified ,No It is extra ordinary 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Re-imagining education is must; involving and seeing it from the eyes of all its stakeholders is the key to that.,Yes. Getting to know about the need for the change and the impact that each one can have has ignited my thoughts to give back to the society,"It was a great opportunity to connect with people of high significance. I was able to talk with a wide variety of people, and get to know they personal experiences. ",Time management would be the only thing that could have been improved. But I would say the management tried their best to do that. ,Had a great time learning and thinking. The panel discussion was intriguing and the underside learning was the best.
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,It was very informative ,Yes,It was very interesting ,More interactions maybe,NA
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,"To start planning and taking necessary action to execute the plan
",Yes. It reminded me of my responsibilities ,It was a very interactive and informative ,By shortening panel discussion so that everyone can attend all the panels,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Belongingness ,Yes,Good,Interaction,No
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Countries and instituitions still have a long way to go when it comes to inclusivity in education. But i am certain that many instiutiona are on the path to achieve with their different variety of inclusivity programs,Yes indeed. I am already part of clubs that strive toward similar goals and I would love to be a more prominent part in them. After this conference i am very much inclined to do my part to promote inclusivity,"It was very fulfilling, I got to meet many interesting personalities and people from different backgrounds and countries.",The panel discussion could be more longer discussing the topic at hand more in depth,Not much. It was a very nice conference. Definetly looking forward to attending more of your conferences
"Yes, I am happy to participate in this survey",,,Phd scholar,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,To make more networking ,Yes ,Very inspiring ,Good ,Overall is was great 
"Yes, I am happy to participate in this survey",,,Volunteer ,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,To learn more ,It inspired everything ,Participate ,Maybe make it more interesting ,??????
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I have met a lot of new people and learnt a lot of new things in just 1 day . It has helped me as a person to grow and think much more,Yes this conference has made us all think on our day to day actions which caused us to think become cautious of our actions,Great people ,"
To improve this conference, you might consider implementing some unique and innovative ideas. For instance, you could introduce a ""Silent Disco"" session where attendees learn through dance, offer interactive holographic keynote speakers, replace traditional name badges with wearable AI that connects people based on their interests, or have breakout sessions inside giant inflatable bounce houses. Additionally, you could encourage participants to swap roles for a day, with educators becoming students and students becoming educators. These unconventional changes could certainly make the conference more memorable and engaging.","Organize a ""Reverse Q&A"" session where the audience gets to ask questions, and the panelists have to come up with the answers on the spot, making for a humorous and interactive experience."
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,I need to get more involved ,Yes ,Not much,Make it shorter ,Nope
